Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;User_Score;Price
SSX;PS3;2012;Sports;Electronic Arts;0.91;6.8;30
Namco Museum;X;2002;Misc;Namco Bandai Games;0.91;0;13
Sonic Riders: Zero Gravity;Wii;2008;Racing;Sega;0.91;8.1;26
AMF Bowling Pinbusters!;Wii;2007;Sports;Bethesda Softworks;0.91;0;32
Dragon Ball: Xenoverse 2;PS4;2016;Action;Namco Bandai Games;0.91;7.7;22
Super Momotarou Dentetsu III;SNES;1994;Simulation;Hudson Soft;0.91;0;9
Sonic Mega Collection Plus;X;2004;Misc;Sega;0.91;7.9;41
Far Cry 4;X360;2014;Shooter;Ubisoft;0.91;7;30
LEGO The Lord of the Rings;Wii;2012;Action;Warner Bros. Interactive Entertainment;0.91;7.2;35
Operation Flashpoint: Dragon Rising;PS3;2009;Shooter;Codemasters;0.91;6.5;33
Madden NFL 25;PS4;2013;Sports;Electronic Arts;0.91;5.2;18
Tiger Woods PGA Tour 2002;PS2;2002;Sports;Electronic Arts;0.9;7.6;28
Lost Odyssey;X360;2007;Role-Playing;Microsoft Game Studios;0.9;8.3;12
Mini-Yonku Shining Scorpion: Lets & Go!!;SNES;1996;Racing;ASCII Entertainment;0.9;0;3
MLB 2005;PS2;2004;Sports;Sony Computer Entertainment;0.9;7.6;42
Marvel: Ultimate Alliance 2;X360;2009;Role-Playing;Activision;0.9;7.3;36
Burnout Revenge;PS2;2005;Racing;Electronic Arts;0.9;8.8;10
The Witcher 2: Assassins of Kings;X360;2012;Action;Namco Bandai Games;0.9;8.3;35
Crysis 3;X360;2013;Shooter;Electronic Arts;0.9;6.7;40
Lego Batman 3: Beyond Gotham;X360;2014;Action;Warner Bros. Interactive Entertainment;0.9;6.8;26
Homefront;PS3;2011;Shooter;THQ;0.9;5.7;41
Destruction Derby;PS;1995;Racing;Psygnosis;0.9;0;12
Avatar: The Game;PS3;2009;Action;Ubisoft;0.9;0;40
LEGO Pirates of the Caribbean: The Video Game;DS;2011;Action;Disney Interactive Studios;0.9;0;36
3Xtreme;PS;1999;Action;989 Studios;0.9;0;5
MX vs. ATV Reflex;PS3;2009;Racing;THQ;0.9;7.4;31
Skylanders: Trap Team;X360;2014;Action;Activision;0.9;0;25
Hot Shots Tennis;PS2;2006;Sports;Sony Computer Entertainment;0.9;8.1;35
LEGO Jurassic World;X360;2015;Action;Warner Bros. Interactive Entertainment;0.9;7.1;26
Sonic Heroes;X;2003;Platform;Sega;0.9;7.6;16
Madden NFL 99;N64;1998;Sports;Electronic Arts;0.9;0;13
Spider-Man 3;PS2;2007;Platform;Activision;0.9;6.5;34
James Bond 007: Agent Under Fire;X;2002;Shooter;Electronic Arts;0.9;7.5;34
Titanfall 2;XOne;2016;Shooter;Electronic Arts;0.9;8;21
DJ Hero;PS3;2009;Misc;Activision;0.9;7.8;28
X-Men Legends;X;2004;Role-Playing;Activision;0.9;8.5;26
NBA Live 2005;X;2004;Sports;Electronic Arts;0.9;7.6;27
Harry Potter: Quidditch World Cup;PS2;2003;Sports;Electronic Arts;0.9;6.6;37
Madagascar;GBA;2005;Platform;Activision;0.89;0;16
Blitz: The League;PS2;2005;Sports;Midway Games;0.89;8;22
The Biggest Loser: Ultimate Workout;X360;2010;Sports;THQ;0.89;0;32
Castlevania: Circle of the Moon;GBA;2001;Platform;Konami Digital Entertainment;0.89;8.5;30
SOCOM 4: U.S. Navy SEALs;PS3;2011;Shooter;Sony Computer Entertainment;0.89;6.3;31
Tiger Woods PGA Tour 06;PS2;2005;Sports;Electronic Arts;0.89;6.2;34
Cars 2;Wii;2011;Racing;Disney Interactive Studios;0.89;0;43
Classic NES Series: The Legend of Zelda;GBA;2004;Adventure;Nintendo;0.89;8.6;39
TouchMaster 2;DS;2008;Puzzle;Midway Games;0.89;0;24
Fire Emblem: The Sacred Stones;GBA;2004;Strategy;Nintendo;0.89;9.1;23
Pokemon Card GB2: Here Comes Team GR!;G;2001;Strategy;Nintendo;0.89;0;15
Killzone: Liberation;PSP;2006;Shooter;Sony Computer Entertainment;0.89;8.2;12
LEGO Jurassic World;PS3;2015;Action;Warner Bros. Interactive Entertainment;0.89;7.4;29
Resistance: Retribution;PSP;2009;Shooter;Sony Computer Entertainment;0.89;8.1;23
Finding Nemo;GC;2003;Action;THQ;0.89;5.5;32
Ace Combat 2;PS;1997;Simulation;Sony Computer Entertainment;0.89;8.2;4
NFL 2K2;PS2;2001;Sports;Sega;0.89;7.5;39
Pure;PS3;2008;Racing;Disney Interactive Studios;0.89;7.8;32
We Ski & Snowboard;Wii;2008;Sports;Atari;0.89;0;24
Call of Duty: World at War;DS;2008;Shooter;Activision;0.89;7.8;38
Lego Star Wars: The Force Awakens;PS4;2016;Action;Warner Bros. Interactive Entertainment;0.89;7.5;18
CSI: Hard Evidence;Wii;2008;Adventure;Ubisoft;0.89;0;22
Tiger Woods PGA Tour 12: The Masters;PS3;2011;Sports;Electronic Arts;0.89;7.3;11
MLB 2001;PS;2000;Sports;Sony Computer Entertainment;0.89;0;10
The Jak and Daxter Collection;PS3;2012;Platform;Sony Computer Entertainment;0.89;0;43
FIFA Soccer 09 All-Play;Wii;2008;Sports;Electronic Arts;0.89;8.4;14
LEGO Indiana Jones 2: The Adventure Continues;PS3;2009;Action;Activision;0.89;7.1;26
SingStar Anthems;PS2;2006;Misc;Sony Computer Entertainment;0.89;0;13
Seiken Densetsu 3;SNES;1995;Role-Playing;SquareSoft;0.89;0;11
Fossil Fighters;DS;2008;Role-Playing;Nintendo;0.89;7.9;20
Buzz! Quiz TV;PS3;2008;Misc;Sony Computer Entertainment;0.89;0;32
NCAA Football 13;PS3;2012;Action;Electronic Arts;0.89;4.1;24
Rhythm Heaven;Wii;2008;Misc;Nintendo;0.88;0;21
Samba De Amigo;Wii;2008;Misc;Sega;0.88;8.1;38
The Simpsons Game;PS3;2007;Action;Electronic Arts;0.88;7.4;33
Mega Man 8 Anniversary Collectors Edition;PS;1996;Platform;Capcom;0.88;0;5
Call of Duty: Modern Warfare 2;PC;2009;Shooter;Activision;0.88;4.2;34
The Tomb Raider Trilogy;PS3;2011;Action;Square Enix;0.88;8.1;36
F1 2010;X360;2010;Racing;Codemasters;0.88;7.5;29
Call of Juarez: Bound in Blood;PS3;2009;Shooter;Ubisoft;0.88;7.8;34
NBA 2K6;PS2;2005;Action;Take-Two Interactive;0.88;8.3;10
Dissidia 012: Duodecim Final Fantasy;PSP;2011;Fighting;Square Enix;0.88;8.3;14
Buzz! The Mega Quiz;PS2;2007;Misc;Sony Computer Entertainment;0.88;0;44
Star Wars: Rebel Assault II - The Hidden Empire;PS;1996;Shooter;CTO SpA;0.88;0;10
Monster Strike 3DS;3DS;2015;Action;mixi;0;0;37
Monster 4X4: World Circuit;Wii;2006;Racing;Ubisoft;0.88;7.8;12
Resident Evil: Revelations;3DS;2012;Action;Capcom;0.88;8.5;19
Sonic Chronicles: The Dark Brotherhood;DS;2008;Role-Playing;Sega;0.88;7.3;19
Star Wars: The Force Unleashed;DS;2008;Action;LucasArts;0.88;5.5;10
Grand Theft Auto IV;PC;2008;Action;Take-Two Interactive;0.88;6.6;38
Rock Band 3;X360;2010;Misc;MTV Games;0.88;8.2;22
WWE SmackDown vs. Raw 2011;X360;2010;Fighting;THQ;0.88;7.6;35
ESPN NHL 2K5;PS2;2004;Sports;Global Star;0.88;8.1;25
Buzz! Master Quiz;PSP;2008;Misc;Sony Computer Entertainment;0.88;0;17
Crimson Skies: High Road to Revenge;X;2003;Simulation;Microsoft Game Studios;0.87;8.8;22
F1 2009;Wii;2009;Racing;Codemasters;0.87;7.2;27
Madden NFL 08;Wii;2007;Sports;Electronic Arts;0.87;6.8;18
Spec Ops: Ranger Elite;PS;2001;Shooter;TalonSoft;0.87;6.6;21
Gex;PS;1995;Platform;Crystal Dynamics;0.87;0;7
Derby Stallion II;SNES;1994;Sports;ASCII Entertainment;0.87;0;10
Tom Clancys Ghost Recon: Island Thunder;X;2003;Shooter;Ubisoft;0.87;8.8;15
Sleeping Dogs;X360;2012;Action;Square Enix ;0.87;7.9;11
Kingdoms of Amalur: Reckoning;X360;2012;Role-Playing;Electronic Arts;0.87;7.7;43
Metal Gear Ac!d;PSP;2004;Strategy;Konami Digital Entertainment;0.87;0;31
Need for Speed: V-Rally;PS;1997;Racing;Infogrames;0.87;0;2
Kingdom Hearts Re: Chain of Memories;PS2;2008;Role-Playing;Square Enix;0.87;7.2;37
Peppa Pig: The Game;DS;2008;Misc;Pinnacle;0.87;0;14
Phantasy Star Portable 2;PSP;2009;Role-Playing;Sega;0.87;8.1;16
Michael Jackson: The Experience;X360;2011;Misc;Ubisoft;0.87;6.8;42
LittleBigPlanet Karting;PS3;2012;Action;Sony Computer Entertainment;0.87;6.9;41
NFL GameDay 97;PS;1996;Sports;Sony Computer Entertainment;0.87;0;7
Tony Hawks Project 8;PS2;2006;Sports;Activision;0.87;7.3;15
NHL 2000;PS;1998;Sports;Electronic Arts;0.87;0;11
GRID;X360;2008;Racing;Codemasters;0.87;7.9;39
DiRT;X360;2007;Racing;Codemasters;0.87;7.4;42
Red Faction: Guerrilla;X360;2009;Shooter;THQ;0.87;8;39
Fight Night Round 2;PS2;2005;Fighting;Electronic Arts;0.87;9;31
Conflict: Desert Storm;X;2002;Shooter;SCi;0.87;8.1;39
Cooking Mama: World Kitchen;Wii;2008;Simulation;505 Games;0.87;4.9;30
Dragon Quest VIII: Journey of the Cursed King;3DS;2015;Role-Playing;Square Enix;0.87;9.6;30
Triple Play 2002;PS2;2002;Sports;Electronic Arts;0.87;0;31
Brothers in Arms: Hells Highway;X360;2008;Shooter;Ubisoft;0.87;8.3;24
Vagrant Story;PS;2000;Role-Playing;Crave Entertainment;0.87;8.4;39
Warriors Orochi;PS2;2007;Action;Tecmo Koei;0.87;8.2;37
Enduro;2600;1982;Misc;Quelle;0.87;0;7
Crysis 3;PS3;2013;Shooter;Electronic Arts;0.87;6.3;24
Mercenaries 2: World in Flames;PS3;2008;Shooter;Electronic Arts;0.87;7.1;28
SingStar 90s;PS2;2007;Misc;Sony Computer Entertainment;0.87;0;19
Wizards of Waverly Place;DS;2009;Misc;Disney Interactive Studios;0.86;0;33
Xenoblade Chronicles X;WiiU;2015;Role-Playing;Nintendo;0.86;8.9;34
Ghostbusters: The Video Game;Wii;2009;Action;Atari;0.86;8.5;23
LEGO Dimensions;PS4;2015;Action;Warner Bros. Interactive Entertainment;0.86;7;32
Doom (2016);XOne;2016;Shooter;Bethesda Softworks;0.86;0;11
Beijing 2008;PS3;2008;Sports;Sega;0.86;0;15
Endless Ocean: Blue World;Wii;2009;Simulation;Nintendo;0.86;8.5;44
Winning Eleven: Pro Evolution Soccer 2007;PSP;2006;Sports;Konami Digital Entertainment;0.86;8.3;13
Rocky;PS2;2002;Fighting;Rage Software;0.86;8.4;23
Nintendo Presents: New Style Boutique 2 - Fashion Forward;3DS;2015;Misc;Nintendo;0.86;0;28
Farming Simulator 17;PC;2016;Simulation;Focus Home Interactive;0.86;7.9;42
Ford Racing;PS;2001;Racing;Empire Interactive;0.86;5.8;35
Madden Football 64;N64;1997;Sports;Electronic Arts;0.86;0;4
Guitar Hero: Warriors of Rock;X360;2010;Misc;Activision;0.86;6.5;14
MLB 99;PS;1998;Sports;Sony Computer Entertainment;0.86;0;6
Lemmings;PSP;2006;Puzzle;Sony Computer Entertainment;0.86;7.9;23
Dynasty Warriors 4: Xtreme Legends;PS2;2003;Action;Tecmo Koei;0.86;9.1;13
Pictionary;Wii;2010;Puzzle;THQ;0.85;0;39
Army Men: Air Attack;PS;1999;Action;3DO;0.85;0;7
FIFA Soccer 08;DS;2007;Sports;Electronic Arts;0.85;0;33
Tomb Raider: Anniversary;Wii;2007;Action;Eidos Interactive;0.85;7.3;21
2010 FIFA World Cup South Africa;X360;2010;Sports;Electronic Arts;0.85;8.1;37
NBA 2K8;X360;2007;Sports;Take-Two Interactive;0.85;7;16
Street Fighter Alpha 2;PS;1996;Fighting;Virgin Interactive;0.85;0;5
Tiger Woods PGA Tour 2005;X;2004;Sports;Electronic Arts;0.85;8.9;14
The Lord of the Rings: War in the North;X360;2011;Action;Warner Bros. Interactive Entertainment;0.85;7.4;42
Castlevania III: Draculas Curse;NES;1989;Platform;Konami Digital Entertainment;0.85;0;14
Kingdoms of Amalur: Reckoning;PS3;2012;Role-Playing;Electronic Arts;0.85;7.6;38
Rampage World Tour;PS;1997;Action;GT Interactive;0.85;0;4
Dragon Ball Z: Burst Limit;PS3;2008;Fighting;Atari;0.85;7.2;26
Golds Gym: Dance Workout;Wii;2010;Sports;Ubisoft;0.85;0;31
Tekken Tag Tournament 2;PS3;2012;Fighting;Namco Bandai Games;0.85;8.2;35
Wii Fit U;WiiU;2013;Sports;Nintendo;0.85;7.7;28
Ninja Gaiden Sigma 2;PS3;2009;Action;Ubisoft Annecy;0.85;7.7;13
Tales of Xillia 2;PS3;2012;Role-Playing;Namco Bandai Games;0.85;7.9;44
Ratatouille;PS2;2007;Action;THQ;0.85;8;11
NFL GameDay;PS;1995;Sports;Sony Computer Entertainment;0.85;0;6
Burnout 2: Point of Impact;PS2;2002;Racing;Acclaim Entertainment;0.85;8.2;39
Street Fighter EX3;PS2;2000;Fighting;Virgin Interactive;0.85;7.9;31
The Legendary Starfy;DS;2008;Platform;Nintendo;0.85;8.4;34
NCAA Football 11;PS3;2010;Sports;Electronic Arts;0.85;7.4;36
The House of the Dead: Overkill;Wii;2009;Shooter;Sega;0.85;8.7;36
Army of Two: The 40th Day;PS3;2010;Shooter;Electronic Arts;0.85;7;18
Darksiders II;PS3;2012;Action;THQ;0.85;7.1;29
The Evil Within;PS3;2014;Action;Bethesda Softworks;0.84;7.6;40
Spider-Man 2;GC;2004;Action;Activision;0.84;8.8;42
Ghostbusters: The Video Game;PS3;2009;Action;Sony Computer Entertainment;0.84;7.9;27
The Incredibles;GC;2004;Action;THQ;0.84;7.1;26
NBA 2K10;PS3;2009;Sports;Take-Two Interactive;0.84;7.8;44
Petz Dogz Fashion;DS;2008;Simulation;Ubisoft;0.84;0;19
ATV Quad Power Racing 2;PS2;2003;Racing;Acclaim Entertainment;0.84;0;14
Final Fantasy;NES;1987;Role-Playing;SquareSoft;0.84;0;3
Skate 2;PS3;2009;Sports;Electronic Arts;0.84;7.8;12
Rocket Power: Team Rocket Rescue;PS;2001;Sports;THQ;0.84;0;12
Big Mutha Truckers;PS2;2002;Racing;Empire Interactive;0.84;5.3;22
Rogue Galaxy;PS2;2005;Role-Playing;Sony Computer Entertainment;0.84;8.5;19
Tales of the Abyss;3DS;2011;Role-Playing;Namco Bandai Games;0.84;7.6;34
ESPN College Hoops 2K5;PS2;2004;Sports;Sega;0.84;8.1;23
NCAA Football 14;PS3;2013;Sports;Electronic Arts;0.84;6.2;28
Burnout Legends;PSP;2005;Racing;Electronic Arts;0.84;8.4;36
Harry Potter and the Order of the Phoenix;DS;2007;Action;Electronic Arts;0.84;4.9;14
Sniper Elite V2;X360;2012;Shooter;505 Games;0.84;6.8;37
Madden NFL 09 All-Play;Wii;2008;Sports;Electronic Arts;0.84;7.2;41
Metroid: Zero Mission;GBA;2004;Adventure;Nintendo;0.84;9;16
Ben 10: Protector of Earth;PS2;2007;Action;D3Publisher;0.84;7.7;25
Q*bert;PS;1999;Puzzle;Atari;0.84;0;6
Blazing Angels: Squadrons of WWII;Wii;2007;Simulation;Ubisoft;0.83;6.7;10
God of War Saga;PS3;2012;Action;Sony Computer Entertainment;0.83;8.3;25
Ace Combat 3: Electrosphere;PS;1999;Simulation;Sony Computer Entertainment;0.83;0;10
Dynasty Warriors 2;PS2;2000;Action;THQ;0.83;8.8;15
Time Crisis 4;PS3;2007;Shooter;Namco Bandai Games;0.83;7.4;33
Madden NFL 07;PSP;2006;Sports;Electronic Arts;0.83;6.6;15
Duke Nukem Forever;X360;2011;Shooter;Take-Two Interactive;0.83;4.4;16
Lizzie McGuire 2: Lizzie Diaries;GBA;2004;Action;Disney Interactive Studios;0.83;5;26
FIFA Soccer World Championship;PS2;2000;Sports;Electronic Arts;0.83;0;42
NCAA Football 12;PS3;2011;Sports;Electronic Arts;0.83;5.8;31
Tiger Woods PGA Tour 11;PS3;2010;Sports;Electronic Arts;0.83;6.7;10
Brute Force;X;2003;Shooter;Microsoft Game Studios;0.83;7.8;19
WWE SmackDown vs. Raw 2009;Wii;2008;Fighting;THQ;0.83;8.5;32
Yu-Gi-Oh! Dark Duel Stories;G;2000;Misc;Konami Digital Entertainment;0.83;0;11
The Game of Life;PS;1998;Misc;Hasbro;0.83;0;6
Mega Man Legends;PS;1997;Adventure;Capcom;0.83;0;13
Sly 3: Honor Among Thieves;PS2;2005;Platform;Sony Computer Entertainment;0.83;8.8;23
MLB SlugFest 20-03;PS2;2002;Sports;Midway Games;0.83;8.2;30
Need for Speed: Nitro;Wii;2009;Racing;Electronic Arts;0.83;7.4;44
DJ Hero 2;X360;2010;Misc;Activision;0.83;7.9;44
Rare Replay;XOne;2015;Misc;Microsoft Game Studios;0.83;7.7;15
Street Fighter X Tekken;PS3;2012;Fighting;Capcom;0.83;5.3;12
MediEvil;PS;1998;Platform;Sony Computer Entertainment;0.83;0;13
Casper;PS;1996;Adventure;Interplay;0.83;0;8
Sid Meiers Civilization Revolution;X360;2008;Strategy;Take-Two Interactive;0.83;7.8;34
Dragon Age II;PS3;2011;Action;Electronic Arts;0.83;4.3;19
Call of Duty: Modern Warfare 3;Wii;2011;Shooter;Activision;0.83;1.8;19
Scooby-Doo! First Frights;DS;2009;Action;Warner Bros. Interactive Entertainment;0.82;0;40
James Bond 007: Nightfire;X;2002;Shooter;Electronic Arts;0.82;7.8;23
Tony Hawks Pro Skater 3;GC;2001;Sports;Activision;0.82;9;21
Marvel: Ultimate Alliance;PS2;2006;Role-Playing;Activision;0.82;8.2;40
Stranglehold;X360;2007;Shooter;Midway Games;0.82;7.6;14
Harvest Moon: Tree of Tranquility;Wii;2007;Simulation;Rising Star Games;0.82;8.2;16
Tony Hawks Underground 2 Remix;PSP;2005;Sports;Activision;0.82;8;26
Madden NFL 25;XOne;2013;Sports;Electronic Arts;0.82;5.9;18
Need for Speed: Hot Pursuit 2;X;2002;Racing;Electronic Arts;0.82;6.4;35
Killer Instinct Gold;N64;1996;Fighting;Nintendo;0.82;0;10
Clu Clu Land;NES;1984;Puzzle;Nintendo;0.82;0;8
Karaoke Revolution Glee;Wii;2010;Misc;Konami Digital Entertainment;0.82;0;40
I Spy: Fun House;DS;2007;Puzzle;Scholastic Inc.;0.82;0;18
Amped: Freestyle Snowboarding;X;2001;Sports;Microsoft Game Studios;0.82;9;25
LEGO Marvels Avengers;PS4;2016;Action;Warner Bros. Interactive Entertainment;0.82;7;26
The Price is Right;Wii;2008;Misc;Ubisoft;0.82;4.3;13
Custers Revenge;2600;1981;Action;Mystique;0.82;0;3
Killzone: Mercenary;PSV;2013;Shooter;Sony Computer Entertainment Europe;0.82;8.8;42
Rocket Power: Beach Bandits;PS2;2002;Platform;THQ;0.82;6.6;18
Devil May Cry HD Collection;PS3;2012;Action;Capcom;0.82;8.8;27
Thief (2014);PS4;2014;Action;Square Enix;0.82;0;22
Shin Megami Tensei: Persona 4;PS2;2008;Role-Playing;Atlus;0.82;8.9;16
The Lord of the Rings: War in the North;PS3;2011;Action;Warner Bros. Interactive Entertainment;0.82;7;17
Dragon Warrior III;G;2000;Role-Playing;Enix Corporation;0.81;0;27
Ready 2 Rumble Boxing: Round 2;PS2;2000;Fighting;Midway Games;0.81;0;37
Dance Central 3;X360;2012;Misc;Microsoft Game Studios;0.81;8;24
Kamaitachi no Yoru;SNES;1994;Adventure;ChunSoft;0.81;0;10
Imagine: Rock Star;DS;2008;Simulation;Ubisoft;0.81;0;13
Tales of Destiny II;PS;2000;Role-Playing;Namco Bandai Games;0.81;8.7;31
Twisted Metal (2012);PS3;2012;Action;Sony Computer Entertainment;0.81;0;10
Super Bomberman 2;SNES;1994;Puzzle;Hudson Soft;0.81;0;10
NASCAR 2001;PS;2000;Racing;Electronic Arts;0.81;6.1;39
The Legend of Zelda: Four Swords Adventures;GC;2004;Action;Nintendo;0.81;7.2;42
MediEvil: Resurrection;PSP;2005;Adventure;Sony Computer Entertainment;0.81;8.7;36
Jikkyou Powerful Pro Yakyuu 99 Kaimakuban;PS;1999;Sports;Konami Digital Entertainment;0.81;0;3
Valkyrie Profile;PS;1999;Role-Playing;Enix Corporation;0.81;8.8;5
Dragon Ball: Raging Blast 2;PS3;2010;Fighting;Namco Bandai Games;0.81;7.5;11
Shaun White Snowboarding;X360;2008;Sports;Ubisoft;0.81;7.6;15
Patapon;PSP;2007;Misc;Sony Computer Entertainment;0.81;8.7;30
Final Fantasy Type-0;PSP;2011;Role-Playing;Square Enix;0.81;0;20
Metal Gear Solid V: The Phantom Pain;XOne;2015;Action;Konami Digital Entertainment;0.81;7.2;30
Mega Man;NES;1987;Platform;Capcom;0.81;0;9
Army Men: Sarges Heroes;N64;1999;Action;3DO;0.81;0;7
Pro Evolution Soccer 2010;X360;2009;Sports;Konami Digital Entertainment;0.81;7.6;21
Tom Clancys Rainbow Six 3;PS2;2004;Shooter;Ubisoft;0.81;8.2;21
Final Fantasy X / X-2 HD Remaster;PSV;2013;Role-Playing;Square Enix;0.81;8.5;20
NCAA Football 10;PS3;2009;Sports;Electronic Arts;0.81;6.9;41
EarthBound;SNES;1994;Role-Playing;Nintendo;0.81;0;7
Guitar Hero: Warriors of Rock;PS3;2010;Misc;Activision;0.81;7.1;32
The Next Tetris;PS;1998;Puzzle;Atari;0.81;0;4
Battle of Giants: Dinosaurs;DS;2008;Strategy;Ubisoft;0.81;7.2;18
World Soccer Jikkyou Winning Eleven 3: World Cup France 98;PS;1998;Sports;Konami Digital Entertainment;0.81;0;2
Final Fantasy XI: Wings of the Goddess;PS2;2007;Role-Playing;Square Enix;0.81;0;16
The Sims 2;PS2;2005;Simulation;Electronic Arts;0.81;4.4;28
SingStar Vol. 2;PS3;2008;Misc;Sony Computer Entertainment;0.81;0;35
Forza Horizon 2;X360;2014;Racing;Microsoft Game Studios;0.8;5.1;34
Who wants to be a millionaire;PS;2000;Misc;Eidos Interactive;0.8;0;31
Yakuza;PS2;2005;Action;Sega;0.8;8.2;44
Disneys The Little Mermaid: Ariels Undersea Adventure;DS;2006;Action;Disney Interactive Studios;0.8;7;28
Star Wars Rogue Squadron III: Rebel Strike;GC;2003;Simulation;LucasArts;0.8;7.6;43
Moto Racer;PS;1997;Racing;Electronic Arts;0.8;0;11
Hitman: Contracts;PS2;2004;Shooter;Eidos Interactive;0.8;8.3;17
Professor Layton vs Phoenix Wright: Ace Attorney;3DS;2012;Puzzle;Level 5;0.8;8.5;44
Ben 10: Alien Force;Wii;2008;Action;Koch Media;0.8;7.8;28
Final Fantasy Anthology;PS;1999;Role-Playing;Square EA;0.8;8.1;4
DiRT 2;X360;2009;Racing;Codemasters;0.8;8.2;13
Deca Sports 2;Wii;2009;Sports;Hudson Soft;0.8;0;12
Prince of Persia: Warrior Within;X;2004;Action;Ubisoft;0.8;7.5;32
WWE 2K17;PS4;2016;Sports;Take-Two Interactive;0.8;6.9;43
Pro Evolution Soccer 2010;PSP;2009;Sports;Konami Digital Entertainment;0.8;4.6;29
Guitar Hero: Metallica;X360;2009;Misc;Activision;0.8;8.1;17
Pro Evolution Soccer 2016;PS4;2015;Sports;Konami Digital Entertainment;0.8;7.1;23
EA Sports Active NFL Training Camp;Wii;2010;Sports;Electronic Arts;0.8;0;37
Super Robot Taisen \xce\xb1;PS;2000;Strategy;Banpresto;0.8;0;34
Need for Speed: Hot Pursuit 2;GC;2002;Racing;Electronic Arts;0.8;8.3;34
PES 2009: Pro Evolution Soccer;PSP;2008;Sports;Konami Digital Entertainment;0.8;0;29
Hasbro Family Game Night 3;Wii;2010;Misc;Electronic Arts;0.8;0;16
Madden NFL 16;PS3;2015;Sports;Electronic Arts;0.8;3.1;25
Tales of Destiny 2;PS2;2002;Role-Playing;Namco Bandai Games;0.8;0;38
Capcoms Soccer Shootout;SNES;1993;Sports;Nintendo;0.8;0;4
Rayman Raving Rabbids 2;DS;2007;Misc;Ubisoft;0.8;7;42
The Sims 2: Pets;PSP;2006;Simulation;Electronic Arts;0.8;7.3;36
Alien;2600;1981;Action;20th Century Fox Video Games;0.79;0;4
Dragon Ball Z: Budokai Tenkaichi 2;PS2;2006;Fighting;Atari;0.79;8.6;17
Need for Speed Rivals;X360;2013;Racing;Electronic Arts;0.79;5.4;20
Star Wars The Clone Wars: Republic Heroes;Wii;2009;Action;LucasArts;0.79;6.4;16
Guitar Hero: Aerosmith;PS2;2008;Misc;Activision;0.79;6.3;43
Ridge Racer;PS;1994;Racing;Sony Computer Entertainment;0.79;0;3
pro evolution soccer 2011;PSP;2010;Sports;Konami Digital Entertainment;0.79;5.8;14
Sniper: Ghost Warrior;PS3;2011;Shooter;City Interactive;0.79;6;23
Harvest Moon: A Wonderful Life;GC;2003;Role-Playing;Ubisoft;0.79;8.9;28
DmC: Devil May Cry;PS3;2013;Action;Capcom;0.79;5.3;32
All Star Cheer Squad;Wii;2008;Sports;THQ;0.79;5.2;40
Momotarou Dentetsu 7;PS;1997;Simulation;Hudson Entertainment;0.79;0;8
Motocross Mania;PS;2001;Racing;Take-Two Interactive;0.79;5.3;13
WWE 2K15;PS3;2014;Sports;Take-Two Interactive;0.79;3.1;43
Darksiders II;X360;2012;Action;THQ;0.79;8;22
[Prototype 2];X360;2012;Action;Activision;0.79;7;22
Mega Man 5;NES;1992;Platform;Capcom;0.79;0;7
WCW Mayhem;N64;1999;Fighting;Electronic Arts;0.79;0;6
Dance Dance Revolution SuperNOVA 2;PS2;2007;Simulation;Konami Digital Entertainment;0.79;0;17
Armored Core 2;PS2;2000;Simulation;Ubisoft;0.79;8.4;10
Dragon Quest Monsters 2;3DS;2014;Role-Playing;Square Enix;0.79;0;33
The Godfather II;X360;2009;Action;Electronic Arts;0.79;6.9;41
Dragons Dogma;X360;2012;Role-Playing;Capcom;0.79;7.8;28
The Amazing Spider-Man (Console Version);PS3;2012;Action;Activision;0.79;0;42
The 7th Guest;PC;1992;Adventure;Virgin Interactive;0.79;0;3
Major League Baseball Featuring Ken Griffey Jr;N64;1998;Sports;Nintendo;0.79;0;6
Band Hero;X360;2009;Misc;Activision;0.79;5;10
NCAA Football 08;PS2;2007;Sports;Electronic Arts;0.79;8.4;16
FIFA Soccer 2004;X;2003;Sports;Electronic Arts;0.79;8.2;33
The Sims 2: Castaway;PSP;2007;Simulation;Electronic Arts;0.79;7.3;19
Golden Sun: Dark Dawn;DS;2010;Role-Playing;Nintendo;0.79;8.1;28
Star Ocean: The Last Hope;X360;2009;Role-Playing;Square Enix;0.79;7.2;39
Mario & Luigi: Paper Jam;3DS;2015;Role-Playing;Nintendo;0.79;0;36
Invizimals;PSP;2009;Strategy;Sony Computer Entertainment;0.79;7.3;28
Too Human;X360;2008;Role-Playing;Microsoft Game Studios;0.78;7;26
Tiger Woods PGA Tour 10;PS3;2009;Sports;Electronic Arts;0.78;7.7;42
Yars Revenge;2600;1982;Shooter;Atari;0.78;0;2
Dragon Quest Heroes: The Worlds Tree Woe and the Blight Below;PS4;2015;Action;Square Enix;0.78;0;19
Secret Agent Barbie: Royal Jewels Mission;GBA;2002;Platform;Vivendi Games;0.78;0;14
Doom;PS;1994;Shooter;Infogrames;0.78;0;7
Tom Clancys Splinter Cell: Double Agent;X360;2006;Action;Ubisoft;0.78;8.1;41
Buzz! The Hollywood Quiz;PS2;2007;Misc;Sony Computer Entertainment;0.78;0;43
Naruto Shippuden: Ultimate Ninja Storm 2;X360;2010;Fighting;Namco Bandai Games;0.78;8.5;39
